COD.ART,DESCRIPTION,BARCODE,
E2.05-D.46,Dress Fittings for Elli II Wall Mixer Brushed Brass PVD,9340379027156,
E2.05-D.48,Dress Fittings for ELLI II Wall Mixer,9340379023165,
E2.05-D.50,Dress Fittings for Elli II Wall Mixer Fucile PVD,9340379027699,
E2.05-D1.02,Dress Fittings forÿ ELLI II Wall Mixer Matt Black with Red/Blue Indicator Matt Black,9340379098873,
E2.F02W,Round Flange for Elli II Wall Spout (55mm dia.),9340379021345,
E2.F02W.02,Round Flange for Elli II Wall Spout (55mm dia.) Matt Black,9340379021352,
E2.F02W.41,Round Flange for Elli II Wall Spout (55mm dia.) Brushed Nickel PVD,9340379021369,
E2.F02W.46,Round Flange for Elli II Wall Spout (55mm dia.) Brushed Brass PVD,9340379021376,
E2.F02W.48,Round Flange for Elli II Wall Spout (55mm dia.) Matt Bronze PVD,9340379021383,
E2.F02W.50,Round Flange for Elli II Wall Spout (55mm dia.) Fucile PVD,9340379021390,
E2.F02W80,Round Flange for Elli II Wall Spout (80mm dia.),9340379021406,
E2.F02W80.02,Round Flange for Elli II Wall Spout (80mm dia.) Matt Black,9340379021413,
E2.F02W80.41,Round Flange for Elli II Wall Spout (80mm dia.) Brushed Nickel PVD,9340379021420,
E2.F02W80.46,Round Flange for Elli II Wall Spout (80mm dia.) Brushed Brass PVD,9340379021437,
E2.F02W80.48,Round Flange for Elli II Wall Spout (80mm dia.) Matt Bronze PVD,9340379021444,
E2.F02W80.50,Round Flange for Elli II Wall Spout (80mm dia.) Fucile PVD,9340379021451,
E2.HS-3H,Elli II Hand Shower (3 Function),9340379023875,
E2.HS-3H.41,Elli II Hand Shower (3 Function) Brushed Nickel PVD,9340379095353,
E2.HS-3H.46,Elli II Hand Shower (3 Function) Brushed Brass PVD,9340379095407,
E2.HS-3H.50,Elli II Hand Shower (3 Function) Fucile PVD,9340379005062,
E2.P01-2W,Back Plate for Elli II Wall Mixer with Spout,9340379023691,
E2.P01-2W.02,Back Plate for Elli II Wall Mixer with Spout Matt Black,9340379023707,
E2.P01-2W.41,Back Plate for Elli II Wall Mixer with Spout Brushed Nickel PVD,9340379023714,
E2.P01-2W.46,Back Plate for Elli II Wall Mixer with Spout Brushed Brass PVD,9340379023721,
E2.P01-2W.48,Back Plate for Elli II Wall Mixer with Spout Matt Bronze PVD,9340379023738,
E2.P01-2W.50,Back Plate for Elli II Wall Mixer with Spout Fucile PVD,9340379023745,
E2.P01-2W.P2,Back Plate for Elli II Wall Mixer ,9340379025497,
E2.P01-2W.P2.02,Back Plate for Elli II Wall Mixer ,9340379025503,
E2.P01-2W.P2.41,Back Plate for Elli II Wall Mixer ,9340379025565,
E2.P01-2W.P2.46,Back Plate for Elli II Wall Mixer ,9340379026142,
E2.P01-2W.P2.48,Back Plate for Elli II Wall Mixer ,9340379026227,
E2.P01-2W.P2.50,Back Plate for Elli II Wall Mixer ,9340379026234,
E2.RHS,Elli Spare Toilet Roll Holder Chrome,9340379000685,
E2.RHS.02,Elli Spare Toilet Roll Holder Matt Black,9340379090259,
E2.RHS.41,Elli Spare Toilet Roll Holder Brushed Nickel PVD,9340379090372,
E2.RHS.46,Elli Spare Toilet Roll Holder Brushed Brass PVD,9340379090327,
E2.RHS.48,Elli Spare Toilet Roll Holder Matt Bronze PVD,9340379090471,
E2.RHS.50,Elli Spare Toilet Roll Holder Fucile,9340379090426,
E2.SA.1W,Elli II High Rise Wall Shower Arm,9340379029525,
E2.SA.1W.02,Elli II High Rise Wall Shower Arm Matt Black,9340379020515,
E2.SA.1W.41,Elli II High Rise Wall Shower Arm Brushed Nickel PVD,9340379020522,
E2.SA.1W.46,Elli II High Rise Wall Shower Arm Brushed Brass PVD,9340379020539,
E2.SA.1W.48,Elli II High Rise Wall Shower Arm Matt Bronze PVD,9340379020546,
E2.SA.1W.50,Elli II High Rise Wall Shower Arm Fucile PVD,9340379020553,
E2.SH.A220,Elli II Shower Head 240mm Chrome,9340379090266,
E2.SH.A220.02,Elli II Shower Head 240mm Matt Black,9340379090211,
E2.SH.A220.41,Elli II Shower Head 240mm Brushed Nickel PVD,9340379090334,
E2.SH.A220.46,Elli II Shower Head 240mm Brushed Brass PVD,9340379090310,
E2.SH.A220.50,Elli II Shower Head 240mm Fucile PVD,9340379090389,
E2.SR,Elli II Sliding Rail with Hand Shower,9340379029532,
E2.SR.02,Elli II Sliding Rail with Hand Shower Matt Black,9340379020331,
E2.SR.41,Elli II Sliding Rail with Hand Shower Brushed Nickel PVD,9340379020348,
E2.SR.46,Elli II Sliding Rail with Hand Shower Brushed Brass PVD,9340379020355,
E2.SR.48,Elli II Sliding Rail with Hand Shower Matt Bronze,9340379020867,
E2.SR.50,Elli II Sliding Rail with Hand Shower Fucile PVD,9340379020362,
E2.TR30,Elli Single Towel Rail 300mm Chrome,9340379000692,
E2.TR30.02,Elli II Single Towel Rail 300mm Matt Black,9340379090242,
E2.TR30.41,Elli II Single Towel Rail 300mm Brushed Nickel,9340379090365,
E2.TR30.46,Elli II Single Towel Rail 300mm Brushed Brass PVD,9340379090303,
E2.TR30.48,Elli II Single Towel Rail 300mm Matt Bronze PVD,9340379090464,
E2.TR30.50,Elli II Single Towel Rail 300mm Fucile PVD PVD,9340379090419,
E2.TR50,Elli II Single Towel Rail 500mm Chrome,9340379090273,
E2.TR50.02,Elli II Single Towel Rail 500mm Matt Black PVD,9340379090235,
E2.TR50.41,Elli II Single Towel Rail 500mm Brushed Nickel PVD,9340379090358,
E2.TR50.46,Elli II Single Towel Rail 500mm Brushed Brass PVD,9340379090297,
E2.TR50.48,Elli II Single Towel Rail 500mm Matt Bronze PVD,9340379090457,
E2.TR50.50,Elli II Single Towel Rail 500mm Fucile PVD,9340379090402,
E2.TR60,Elli Single Towel Rail 600mm Chrome,9340379000708,
E2.TR60.02,Elli II Single Towel Rail 600mm Matt Black,9340379090228,
E2.TR60.41,Elli II Single Towel Rail 600mm Brushed Nickel PVD,9340379090341,
E2.TR60.46,Elli II Single Towel Rail 600mm Brushed Brass PVD,9340379090280,
E2.TR60.48,Elli II Single Towel Rail 600mm Matt Bronze PVD,9340379090440,
E2.TR60.50,Elli II Single Towel Rail 600mm Fucile PVD,9340379090396,
E-330SS-MK,Evo 330 Side Storage Unit (Moka),9340379013173,
E-330SS-SH,Evo 330 Side Storage Unit (Sahara),9340379013180,
E-330SS-SP,Evo 330 Side Storage Unit (Sand Plus),9340379015955,
E-330SS-TA,Evo 330 Side Storage Unit (Tabacco),9340379012992,
E-600-MK,Evo 600 Wall Mounted Cabinet (Moka) w/Ceramic Top 0TH,9340379013036,
E-600MS-MK,Evo 600 Mirror Cabinet (Moka),9340379013012,
E-600MS-SH,Evo 600 Mirror Cabinet (Sahara),9340379013029,
E-600MS-SP,Evo 600 Mirror Cabinet (Sand Plus),9340379015870,
E-600MS-ST,Evo 600 Mirror Cabinet (Steel),9340379019861,
E-600MS-TA,Evo 600 Mirror Cabinet (Tabacco),9340379012916,
E-600-SH,Evo 600 Wall Mounted Cabinet (Sahara) w/ Ceramic Top 0TH,9340379013043,
E-600-SP,Evo 600 Wall Mounted Cabinet (Sand Plus) w/ Ceramic Top 0TH,9340379015863,
